Scientific_Name,Common_Name,#_of_States_2005,States_2005,#_of_States_2015,States_2015,Taxonomic_Group,matches_biotics
Derops divalis,Beetle,1,Missouri,1,Arkansas,Other,TRUE
Deschampsia cespitosa ssp. glauca,tufted hairgrass,0,NA,1,Massachusetts,Plants,TRUE
Descurainia kenheilii,Heilâs tansy mustard,0,NA,1,Colorado,Plants,TRUE
Descurainia pinnata ssp. halictorum,western tansy mustard,0,NA,1,Nebraska,Plants,TRUE
Desmanthus reticulatus,netleaf bundleflower,0,NA,1,Texas,Plants,TRUE
Desmatodon obtusifolius,A Moss,0,NA,1,Vermont,Plants,TRUE
Desmocerus californicus dimorphus,valley elderberry longhorn beetle,1,California,1,California,Other Invertebrates,TRUE
Desmocerus palliatus,elder borer,1,Rhode Island,1,Rhode Island,Other Invertebrates,TRUE
Desmodium cuspidatum var. longifolium,largebract ticktrefoil,1,Nebraska,1,Nebraska,Plants,TRUE
Desmodium lindheimeri,Lindheimer's ticktrefoil,0,NA,1,Texas,Plants,TRUE
Desmodium lineatum,sand ticktrefoil,0,NA,1,West Virginia,Plants,TRUE
Desmodium pauciflorum,fewflower ticktrefoil,0,NA,1,West Virginia,Plants,TRUE
Desmodium perplexum,perplexed ticktrefoil,0,NA,1,Vermont,Plants,TRUE
Desmodium rotundifolium,prostrate ticktrefoil,1,Vermont,1,Vermont,Plants,TRUE
Desmodium sessilifolium,sessileleaf ticktrefoil,1,Nebraska,1,Nebraska,Plants,TRUE
Desmodium strictum,pine barren ticktrefoil,1,Missouri,1,Missouri,Plants,TRUE
Desmodium viridiflorum,velvetleaf ticktrefoil,1,Missouri,1,Missouri,Plants,TRUE
Desmognathus,Dusky Salamanders,1,Florida,1,Florida,Amphibians,FALSE
Desmognathus abditus,Cumberland Dusky Salamander,0,NA,1,Tennessee,Amphibians,TRUE
Desmognathus apalachicolae,Apalachicola Dusky Salamander,1,Florida,1,Florida,Amphibians,TRUE
Desmognathus brimleyorum,Ouachita Salamander,1,Oklahoma,1,Oklahoma,Amphibians,TRUE
Desmognathus orestes,Blue Ridge Dusky Salamander,1,Virginia,1,Virginia,Amphibians,TRUE
Desmognathus quadramaculatus,Black-bellied Salamander,1,West Virginia,1,West Virginia,Amphibians,TRUE
Desmognathus santeetlah,Santeetlah Dusky Salamander,0,NA,1,North Carolina,Amphibians,TRUE
Desmonus earlei,A millipede,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Desmopachria cenchramis,Fig Seed Diving Beetle,0,NA,1,Florida,Other Invertebrates,TRUE
Destria crocea,A Leafhopper,1,Wisconsin,1,Wisconsin,Other,TRUE
Destria fumida,a leafhopper,1,Illinois,1,Illinois,Other,TRUE
Diacyclops,Indiana Groundwater Copepod,1,Tennessee,1,Tennessee,Other Invertebrates,FALSE
Diacyclops harryi,Copepod sp.,1,District of Columbia,1,District of Columbia,Other Invertebrates,FALSE
Diacyclops navus,Copepod sp.,0,NA,1,District of Columbia,Other Invertebrates,TRUE
Diacyclops nearcticus,A Copepod,1,District of Columbia,1,Tennessee,Other Invertebrates,TRUE
Diadematidae,NA,0,NA,1,Florida,Other Invertebrates,FALSE
Diadophis punctatus acricus,Key Ringneck Snake,1,Florida,1,Florida,Reptiles,TRUE
Diadophis punctatus arnyi,Prairie Ringneck Snake,1,Wisconsin,1,Wisconsin,Reptiles,TRUE
Diadophis punctatus regalis,Regal Ringsnake Snake,0,NA,1,California,Reptiles,TRUE
Diamorpha smallii,elf orpine,0,NA,1,Tennessee,Plants,TRUE
Diaperia verna,spring pygmycudweed,0,NA,1,Louisiana,Plants,TRUE
Diarrhena americana,American beak grass,1,Missouri,1,Missouri,Plants,TRUE
Diarsia rubifera,Red Dart Moth,1,Pennsylvania,1,Pennsylvania,Other Invertebrates,TRUE
Dicaelus dilatatus dilatatus,A Ground Beetle,0,NA,1,Vermont,Other Invertebrates,FALSE
Dicaelus teter,A Ground Beetle,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Dicamptodon aterrimus,Idaho Giant Salamander,2,"Idaho,Montana",1,Montana,Amphibians,TRUE
Dicamptodon ensatus,California Giant Salamander,0,NA,1,California,Amphibians,TRUE
Dicentra cucullaria,Dutchman's breeches,0,NA,1,South Carolina,Plants,TRUE
Dicentra eximia,turkey corn,0,NA,1,South Carolina,Plants,TRUE
Dicerandra odoratissima,rose balm,0,NA,1,South Carolina,Plants,TRUE
Dicerandra radfordiana,Radford's balm,1,Georgia,1,Georgia,Plants,TRUE
Dichanthelium aciculare,Needleleaf Witchgrass,0,NA,1,Tennessee,Plants,TRUE
Dichanthelium acuminatum var. acuminatum,Matting Witchgrass,0,NA,1,West Virginia,Plants,TRUE
Dichanthelium acuminatum var. densiflorum,Eaton's Witchgrass,0,NA,1,Tennessee,Plants,TRUE
Dichanthelium boreale,Panicgrass,0,NA,1,West Virginia,Plants,TRUE
Dichanthelium curtifolium,Short-leaved Panic Grass,0,NA,1,Tennessee,Plants,TRUE
Dichanthelium depauperatum,Starved Spring Panicum,1,Nebraska,1,Nebraska,Plants,TRUE
Dichanthelium dichotomum ssp. mattamuskeetense,A Panic Grass,1,Missouri,1,Massachusetts,Plants,TRUE
Dichanthelium hirstii,Hirst's panicgrass,1,Georgia,1,Georgia,Plants,TRUE
Dichanthelium latifolium,Broad-leaf Spring-Panicum,1,Nebraska,1,Nebraska,Plants,TRUE
Dichanthelium linearifolium,Slender-leaf Spring-panicum,0,NA,1,Nebraska,Plants,TRUE
Dichanthelium oligosanthes,Few-flowered Panic-grass,1,Vermont,1,Vermont,Plants,TRUE
Dichanthelium portoricense,District Of Columbia Panicgrass,1,Missouri,1,West Virginia,Plants,TRUE
Dichanthelium scabriusculum,Rough Panic-grass,0,NA,1,Massachusetts,Plants,TRUE
Dichanthelium scoparium,Broom Witchgrass,0,NA,1,West Virginia,Plants,TRUE
Dichanthelium sphaerocarpon,Spherical Panic-grass,1,Vermont,1,Vermont,Plants,TRUE
Dichanthelium strigosum var. glabrescens,Rough-hair Witchgrass,0,NA,1,Louisiana,Plants,TRUE
Dichanthelium strigosum var. leucoblepharis,Rough-hair Witch Grass,0,NA,1,Louisiana,Plants,TRUE
Dichanthelium xanthophysum,Panicgrass,0,NA,1,West Virginia,Plants,TRUE
Dicheirotrichus cognatus,no common name,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Dichelyma capillaceum,A Moss,2,"Missouri,Vermont",1,Vermont,Plants,TRUE
Dichelyma falcatum,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Dichelyma pallescens,A Moss,0,NA,1,Vermont,Plants,TRUE
Dichocoenia stokesi,"Elliptical Star Coral, Pineapple Coral",1,Florida,1,Florida,Other Invertebrates,TRUE
Dichopetala catinata,A katydid,0,NA,1,Texas,Other Invertebrates,TRUE
Dichopetala gladiator,Gladiator short-winged katydid,0,NA,1,Texas,Other Invertebrates,TRUE
Dichopetala oreoeca,A katydid,0,NA,1,Texas,Other Invertebrates,TRUE
Dichopetala pollicifera,Thumb-bearing short-winged katydid,0,NA,1,Texas,Other Invertebrates,TRUE
Dichotomius carolinus,Dung Beetle,1,Rhode Island,1,Rhode Island,Other Invertebrates,TRUE
Dichromorpha viridis,Short-winged Grasshopper,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Dicranella cerviculata,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Dicranella schreberiana,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Dicranodontium denudatum,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Dicranopselaphus variegatus,Variegated False Water Penny Beetle,0,NA,1,Illinois,Other Invertebrates,TRUE
Dicranum muehlenbeckii,A Moss,0,NA,1,Vermont,Plants,TRUE
Dicranum ontariense,Ontario Dicranum Moss,1,Vermont,1,Vermont,Plants,TRUE
Didelphis virginiana,Virginia Opossum,2,"District of Columbia,Ohio",1,District of Columbia,Mammals,TRUE
Didymodon fallax,A Moss,0,NA,1,Vermont,Plants,TRUE
Didymodon fallax var. reflexus,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Didymodon rigidulus var. rigidulus,A Moss,1,Missouri,1,Vermont,Plants,TRUE
Didymodon tophaceus,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Diervilla lonicera,northern bush-honeysuckle,0,NA,1,Tennessee,Plants,TRUE
Diervilla rivularis,mountain bush honeysuckle,0,NA,1,Tennessee,Plants,TRUE
Dieteria asteroides var. lagunensis,Mount Laguna aster,0,NA,1,California,Plants,FALSE
Dieteria canescens var. glabra,hoary tansyaster,0,NA,1,Nebraska,Plants,TRUE
Dieunomia heteropoda,A sweat bee,0,NA,1,Maryland,Other Invertebrates,TRUE
Dieunomia nevadensis,A sweat bee,0,NA,1,Maryland,Other Invertebrates,TRUE
Digitaria filiformis,Slender Crabgrass,0,NA,1,West Virginia,Plants,TRUE
Digrammia equivocata,Equivocal Looper,0,NA,1,Connecticut,Other Invertebrates,TRUE
Digrammia ordinata,Amorpha Angle,1,Illinois,1,Illinois,Other Invertebrates,TRUE
Dinacoma caseyi,Casey's June beetle,1,California,1,California,Other Invertebrates,TRUE
Dinocheirus cavicola,no common name,1,Texas,1,Texas,Other Invertebrates,TRUE
Diodella teres,Rough Buttonweed,0,NA,1,Nebraska,Plants,TRUE
Diomus pseudotaedatus,no common name,1,Texas,1,Texas,Other Invertebrates,TRUE
Dionaea muscipula,Venus fly trap,0,NA,1,South Carolina,Plants,TRUE
Dionda argentosa,Manantial roundnose minnow,1,Texas,1,Texas,Fish,TRUE
Dionda diaboli,Devils River minnow,1,Texas,1,Texas,Fish,TRUE
Dionda episcopa,roundnose minnow,1,Texas,1,Texas,Fish,TRUE
Dionda nigrotaeniata,Guadalupe roundnose minnow,1,Texas,1,Texas,Fish,TRUE
Dionda serena,Nueces roundnose minnow,1,Texas,1,Texas,Fish,TRUE
Diopatra cuprea,Tube Worm,1,South Carolina,1,Rhode Island,Other Invertebrates,TRUE
Dioscorea villosa,wild yam,1,Nebraska,1,Nebraska,Plants,TRUE
Diospyros virginiana,eastern persimmon,1,Nebraska,1,Nebraska,Plants,TRUE
Dipalta banksi,Bee Fly,0,NA,1,Connecticut,Other Invertebrates,TRUE
Diphetor hageni,A Mayfly,1,Wisconsin,1,Florida,Other Invertebrates,TRUE
Diplazium lonchophyllum,lanceleaf twinsorus fern,0,NA,1,Louisiana,Plants,TRUE
Diplectrona rossi,Schoolhouse Springs Net-spinning Caddisfly,0,NA,1,Louisiana,Other Invertebrates,TRUE
Diplocardia meansi,Earthworm,1,Arkansas,1,Arkansas,Other Invertebrates,TRUE
Diplocheila impressicollis,A Ground Beetle,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Diplocheila striatopunctata,A Ground Beetle,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Diploperla morgani,Virginia springfly,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Diploperla robusta,Robust Springfly,0,NA,1,Illinois,Other Invertebrates,TRUE
Diplophyllum andrewsii,Andrews' Diplophyllum  (Liverwort),1,Georgia,1,Georgia,Plants,TRUE
Diploria clivosa,knobby brain coral,1,Florida,1,Florida,Other Invertebrates,TRUE
Diploria labyrinthiformis,grooved brain coral,1,Florida,1,Florida,Other Invertebrates,TRUE
Diploria strigosa,symmetrical brain coral,1,Florida,1,Florida,Other Invertebrates,TRUE
Diplotaxis rufa,Red Diplotaxis Beetle,0,NA,1,Florida,Other Invertebrates,TRUE
Dipodomys agilis,Agile Kangaroo Rat,0,NA,1,California,Mammals,TRUE
Dipodomys californicus eximius,Marysville California Kangaroo Rat,1,California,1,California,Mammals,TRUE
Dipodomys compactus compactus,Padre Island Kangaroo Rat,1,Texas,1,Texas,Mammals,TRUE
Dipodomys deserti,Desert Kangaroo Rat,2,"Nevada,Utah",1,Nevada,Mammals,TRUE
Dipodomys heermanni arenae,Lompoc kangaroo rat,0,NA,1,California,Mammals,TRUE
Dipodomys heermanni berkeleyensis,Berkeley Kangaroo Rat,1,California,1,California,Mammals,TRUE
Dipodomys heermanni dixoni,Merced Kangaroo Rat,1,California,1,California,Mammals,TRUE
Dipodomys heermanni goldmani,Salinas kangaroo rat,0,NA,1,California,Mammals,TRUE
Dipodomys heermanni heermanni,Heermann's kangaroo rat,0,NA,1,California,Mammals,TRUE
Dipodomys heermanni morroensis,Morro Bay kangaroo rat,1,California,1,California,Mammals,TRUE
Dipodomys ingens,Giant Kangaroo Rat,1,California,1,California,Mammals,TRUE
Dipodomys merriami collinus,Earthquake Merriam's Kangaroo Rat,1,California,1,California,Mammals,TRUE
Dipodomys merriami parvus,San Bernardino kangaroo rat,1,California,1,California,Mammals,TRUE
Dipodomys merriami trinidadensis,Valle de la Trinidad kangaroo rat,0,NA,1,California,Mammals,TRUE
Dipodomys microps leucotis,Marble Canyon kangaroo rat,1,Arizona,1,Arizona,Mammals,TRUE
Dipodomys nitratoides,San Joaquin Valley Kangaroo Rat,0,NA,1,California,Mammals,TRUE
Dipodomys nitratoides exilis,Fresno kangaroo rat,1,California,1,California,Mammals,TRUE
Dipodomys nitratoides nitratoides,Tipton kangaroo rat,1,California,1,California,Mammals,TRUE
Dipodomys simulans,Dulzura Kangaroo Rat,0,NA,1,California,Mammals,TRUE
Dipodomys stephensi,Stephens' kangaroo rat,1,California,1,California,Mammals,TRUE
Dipodomys venustus,Narrow-faced Kangaroo Rat,0,NA,1,California,Mammals,TRUE
Dipsosaurus dorsalis,Desert Iguana,2,"Nevada,Utah",1,Nevada,Reptiles,TRUE
Dirca palustris,eastern leatherwood,0,NA,1,Louisiana,Plants,TRUE
Discolomatidae,NA,0,NA,1,Florida,Other Invertebrates,FALSE
Discosoma carlgreni,forked-tentacle corallimorpharian,0,NA,1,Florida,Other Invertebrates,TRUE
Discosoma neglectum,umbrella corallimorpharian,0,NA,1,Florida,Other Invertebrates,TRUE
Discosoma sanctithomae,warty corallimorpharian,1,Florida,1,Florida,Other Invertebrates,TRUE
Discus bryanti,sawtooth disc,1,Tennessee,1,Tennessee,Mollusks,TRUE
Discus clappi,channelled disc,1,Tennessee,1,Tennessee,Mollusks,TRUE
Discus marmorensis,marbled disc,1,Idaho,1,Idaho,Mollusks,TRUE
Discus nigrimontanus,Black Mountain disc,2,"Missouri,Virginia",1,Virginia,Mollusks,TRUE
Discus shimekii,striate disc,2,"Montana,Wyoming",1,Arizona,Mollusks,TRUE
Discus shimekii cockerelli,Cockerell's Striate Disc (Snail),1,Arizona,1,Arizona,Other,FALSE
Disonycha barberi,no common name,1,Texas,1,Texas,Other Invertebrates,TRUE
Disonycha stenosticha,no common name,1,Texas,1,Texas,Other Invertebrates,TRUE
Dissochaetus oblitus,round fungus beetle,0,NA,1,Tennessee,Other Invertebrates,TRUE
Distichium capillaceum,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Distichlis littoralis,Key Grass,0,NA,1,Louisiana,Plants,TRUE
Distichopora violacea,Violet Lace Coral,1,Florida,1,Florida,Other Invertebrates,TRUE
Distigmoptera impennata,A Leaf Beetle,0,NA,1,Wisconsin,Other Invertebrates,TRUE
Distocambarus carlsoni,mimic crayfish,1,South Carolina,1,South Carolina,Other Invertebrates,TRUE
Distocambarus crockeri,Piedmont Prairie Burrowing Crayfish,1,South Carolina,1,South Carolina,Other Invertebrates,TRUE
Distocambarus devexus,Broad River Burrowing Crayfish,1,Georgia,1,Georgia,Other Invertebrates,TRUE
Distocambarus hunteri,Saluda Burrowing Crayfish,1,South Carolina,1,South Carolina,Other Invertebrates,TRUE
Distocambarus youngineri,Newberry Burrowing Crayfish,1,South Carolina,1,South Carolina,Other Invertebrates,TRUE
Ditaxis aphoroides,Hill Country silverbush,0,NA,1,Texas,Plants,TRUE
Dithyrea maritima,beach shieldpod,0,NA,1,California,Plants,TRUE
Ditrichum ambiguum,A Moss,0,NA,1,Vermont,Plants,TRUE
Ditrichum flexicaule,A Moss,0,NA,1,Vermont,Plants,TRUE
Dixioria brooksi,Brooks millipede,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Dixioria coronata,A millipede,1,Virginia,1,Virginia,Other,TRUE
Dixioria fowleri,A millipede,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Dodecaceria coralii,Coral Worm,0,NA,1,Rhode Island,Other Invertebrates,FALSE
Dodecahema leptoceras,slenderhorn spineflower,0,NA,1,California,Plants,TRUE
Doellingeria infirma,cornel-leaf whitetop,0,NA,1,Massachusetts,Plants,TRUE
Doellingeria umbellata,parasol whitetop,0,NA,1,Connecticut,Plants,TRUE
Doellingeria umbellata var. pubens,parasol whitetop,2,"Missouri,Nebraska",1,Nebraska,Plants,TRUE
Dolabrifera dolabrifera,warty seacat,0,NA,1,Florida,Mollusks,TRUE
Dolba hyloeus,Pawpaw Sphinx,1,Delaware,1,Delaware,Other Invertebrates,TRUE
Dolichoderus taschenbergi,A dolichoderine ant,0,NA,1,Maryland,Other Invertebrates,TRUE
Donax variabilis,variable coquina,2,"Florida,South Carolina",1,South Carolina,Mollusks,TRUE
Donnaldsoncythere donnaldsonensis,An ostracod,0,NA,1,Maryland,Other Invertebrates,TRUE
Donnaldsoncythere tuberosa,(a cave obligate shrimp),1,Tennessee,1,Tennessee,Other Invertebrates,TRUE
Donrichardsia macroneuron,Don Richard's spring moss,0,NA,1,Texas,Plants,TRUE
Dorocordulia libera,Racket-tailed Emerald,1,Ohio,1,Ohio,Other Invertebrates,TRUE
Dorydiella kansana,Leafhopper,1,Michigan,1,Michigan,Other,TRUE
Dorymyrmex bossutus,Sandhills cone ant,0,NA,1,Georgia,Other Invertebrates,TRUE
Dorymyrmex flavopectus,Bi-colored Scrub Cone Ant,0,NA,1,Florida,Other Invertebrates,TRUE
Dosilia palmeri,Oklawaha Sponge,1,Florida,1,Florida,Other Invertebrates,TRUE
Downingia concolor var. brevior,maroonspot calicoflower,0,NA,1,California,Plants,TRUE
Draba asterophora,Lake Tahoe draba,0,NA,1,California,Plants,TRUE
Draba brachycarpa,short-pod whitlowgrass,1,Nebraska,1,Nebraska,Plants,TRUE
Draba cana,cushion draba,1,Vermont,1,Vermont,Plants,TRUE
Draba cuneifolia var. cuneifolia,wedgeleaf draba,0,NA,1,Nebraska,Plants,TRUE
Draba exunguiculata,clawless draba,0,NA,1,Colorado,Plants,TRUE
Draba glabella,smooth draba,1,Vermont,1,Vermont,Plants,TRUE
Draba graminea,Rocky Mountain draba,0,NA,1,Colorado,Plants,TRUE
Draba grayana,Gray's draba,0,NA,1,Colorado,Plants,TRUE
Draba malpighiacea,Whitlow-grass,0,NA,1,Colorado,Plants,TRUE
Draba ramosissima,branched draba,0,NA,1,Tennessee,Plants,TRUE
Draba reptans,Carolina whitlowgrass,0,NA,1,South Carolina,Plants,TRUE
Draba smithii,Smith's draba,0,NA,1,Colorado,Plants,TRUE
Draba standleyi,Standley's whitlowgrass,0,NA,1,Texas,Plants,TRUE
Draba weberi,Weber's draba,0,NA,1,Colorado,Plants,TRUE
Drassyllus louisianus,A gnaphosid spider,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Drasteria graphica,Graphic Moth,1,Delaware,1,Delaware,Other Invertebrates,TRUE
Drasteria graphica atlantica,False Heather Underwing,1,Delaware,1,Connecticut,Other,TRUE
Drasteria occulta,Drasteria Moth,0,NA,1,Connecticut,Other Invertebrates,TRUE
Drepanolejeunea appalachiana,(a liverwort),0,NA,1,Tennessee,Plants,TRUE
Drilonereis longa,A polychaeate,0,NA,1,South Carolina,Other Invertebrates,FALSE
Driotura robusta,A Leafhopper,1,Wisconsin,1,Wisconsin,Other,TRUE
Dromochorus belfragei,Loamy-ground Dromo Tiger Beetle,0,NA,1,Oklahoma,Other Invertebrates,TRUE
Dromochorus pilatei,Cajun Dromo Tiger Beetle,0,NA,1,Louisiana,Other Invertebrates,TRUE
Dromochorus pruininus,Frosted Dromo Tiger Beetle,1,Missouri,1,Missouri,Other Invertebrates,TRUE
Dromogomphus armatus,Southeastern Spinyleg,2,"Florida,West Virginia",1,Florida,Other Invertebrates,TRUE
Dromogomphus spinosus,Black-shouldered Spinyleg,1,Delaware,1,Delaware,Other Invertebrates,TRUE
Drosera brevifolia,dwarf sundew,0,NA,1,Tennessee,Plants,TRUE
Drosera capillaris,pink sundew,0,NA,1,Tennessee,Plants,TRUE
Drosera intermedia,spoonleaf sundew,0,NA,1,Louisiana,Plants,TRUE
Drosera rotundifolia,roundleaf sundew,0,NA,1,Tennessee,Plants,TRUE
Drosera rotundifolia var. rotundifolia,roundleaf sundew,0,NA,1,West Virginia,Plants,TRUE
Drosera tracyi,Tracy's sundew,0,NA,1,Louisiana,Plants,TRUE
Drummondia prorepens,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Drunella cornuta,A Spiny Crawler Mayfly,0,NA,1,Wisconsin,Other Invertebrates,TRUE
Dryachloa dauca,carrot glass,0,NA,1,Florida,Mollusks,TRUE
Drymarchon melanurus erebennus,Texas Indigo Snake,0,NA,1,Texas,Reptiles,TRUE
Drymobius margaritiferus,Central American Speckled Racer,1,Texas,1,Texas,Reptiles,TRUE
Drymocallis cuneifolia var. cuneifolia,wedgeleaf woodbeauty,0,NA,1,California,Plants,TRUE
Dryopteris filix-mas,male fern,1,Vermont,1,Vermont,Plants,TRUE
Dryopteris fragrans,fragrant woodfern,1,Vermont,1,Vermont,Plants,TRUE
Dryopteris intermedia,intermediate woodfern,1,Missouri,1,Missouri,Plants,TRUE
Dryopteris ludoviciana,southern woodfern,0,NA,1,Louisiana,Plants,TRUE
Dubiraphia brunnescens,brownish dubiraphian riffle beetle,1,California,1,California,Other Invertebrates,TRUE
Dubiraphia robusta,Robust Dubiraphian Riffle Beetle,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Dudleya abramsii ssp. setchelii,Santa Clara Valley liveforever,0,NA,1,California,Plants,TRUE
Dudleya blochmaniae ssp. blochmaniae,short-leaved dudleya,0,NA,1,California,Plants,TRUE
Dudleya blochmaniae ssp. insularis,Santa Rosa Island dudleya,0,NA,1,California,Plants,TRUE
Dudleya brevifolia,shortleaf liveforever,0,NA,1,California,Plants,TRUE
Dudleya cymosa ssp. agourensis,canyon liveforever,0,NA,1,California,Plants,TRUE
Dudleya cymosa ssp. marcescens,Marcescent dudleya,0,NA,1,California,Plants,TRUE
Dudleya cymosa ssp. ovatifolia,Santa Monica Mountains dudleya,0,NA,1,California,Plants,TRUE
Dudleya densiflora,San Gabriel Mountains dudleya,0,NA,1,California,Plants,TRUE
Dudleya gnoma,munchkin liveforever,0,NA,1,California,Plants,TRUE
Dudleya nesiotica,Santa Cruz Island dudleya,0,NA,1,California,Plants,TRUE
Dudleya parva,Conejo dudleya,0,NA,1,California,Plants,TRUE
Dudleya stolonifera,Laguna Beach liveforever,0,NA,1,California,Plants,TRUE
Dudleya traskiae,Santa Barbara Island liveforever,0,NA,1,California,Plants,TRUE
Dudleya verityi,Verity's dudleya,0,NA,1,California,Plants,TRUE
Dulichium,dulichium,0,NA,1,Georgia,Plants,FALSE
Dulichium arundinaceum,threeway sedge,1,Nebraska,1,Louisiana,Plants,TRUE
Dumontia oregonensis,hairy water flea,1,California,1,California,Other,TRUE
Dyschirius brevispinus,A Ground Beetle,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Dyschirius erythrocerus,A Ground Beetle,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Dyschirius politus politus,A Ground Beetle,0,NA,1,Vermont,Other Invertebrates,TRUE
Dytiscidae,predaceous diving beetles,0,NA,1,Florida,Other Invertebrates,FALSE
Dytiscus alaskanus,A Predaceous Diving Beetle,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Eacles imperialis imperialis,Imperial Moth,0,NA,1,Connecticut,Other Invertebrates,TRUE
Eanus hatchii,Hatch's click beetle,1,Washington,1,Washington,Other,TRUE
Eburia stroheckeri,Strohecker's Ivory-spotted Long-horned Beetle,1,Florida,1,Florida,Other Invertebrates,TRUE
Eccremidium floridanum,Florida Pygmy Moss,1,Georgia,1,Georgia,Plants,TRUE
Echeandia chandleri,Chandler's craglily,0,NA,1,Texas,Plants,TRUE
Echeandia texensis,Texas craglily,0,NA,1,Texas,Plants,TRUE
Echinacea atrorubens,Topeka purple coneflower,0,NA,1,Texas,Plants,TRUE
Echinacea paradoxa,Bush's purple coneflower,0,NA,1,Missouri,Plants,TRUE
Echinacea purpurea,eastern purple coneflower,0,NA,1,Louisiana,Plants,TRUE
Echinacea tennesseensis,Tennessee purple coneflower,0,NA,1,Tennessee,Plants,TRUE
Echinarachnius parma,Common Sand Dollar,0,NA,1,Rhode Island,Other Invertebrates,TRUE
Echinargus isola,Reakirt's Blue,2,"Iowa,Louisiana",1,Iowa,Other Invertebrates,TRUE
Echinaster echinophorus,Thorny Sea Star,0,NA,1,Florida,Other Invertebrates,TRUE
Echinasteridae,NA,0,NA,1,Florida,Other Invertebrates,FALSE
Echinocereus chisosensis ssp. chisosensis,Chisos Mountain hedgehog cactus,0,NA,1,Texas,Plants,TRUE
Echinocereus coccineus ssp. paucispinus,Texas claret-cup cactus,0,NA,1,Texas,Plants,FALSE
Echinocereus davisii,Davis' green pitaya,0,NA,1,Texas,Plants,TRUE
Echinocereus engelmannii,Engelmann's hedgehog cactus,0,NA,1,California,Plants,TRUE
Echinocereus papillosus,Yellow-flowered alicoche,0,NA,1,Texas,Plants,TRUE
Echinocereus reichenbachii,Bailey's hedgehog cactus,0,NA,1,Texas,Plants,TRUE
Echinocereus viridiflorus,Green-flower Hedgehog Cactus,1,Nebraska,1,Nebraska,Plants,TRUE
Echinocereus viridiflorus ssp. chloranthus,Golden-spine hedgehog cactus,0,NA,1,Texas,Plants,TRUE
Echinocereus viridiflorus ssp. correllii,Correll's green pitaya,0,NA,1,Texas,Plants,TRUE
Echinochloa walteri,Walter's barnyard grass,1,Missouri,1,Tennessee,Plants,TRUE
Echinodorus berteroi,upright burrhead,0,NA,1,Tennessee,Plants,TRUE
Echinodorus tenellus,mudbabies,1,Missouri,1,Louisiana,Plants,TRUE
Ectemnia invenusta,Black Fly,1,South Carolina,1,South Carolina,Other Invertebrates,TRUE
Ectoedemia castaneae,American chestnut nepticulid moth,1,Maryland,1,Maryland,Other,TRUE
Ectoedemia phleophaga,Phleophagan chestnut nepticulid moth,1,Maryland,1,Maryland,Other,TRUE
Edwardsia elegans,Burrowing Anemone,0,NA,1,Rhode Island,Other Invertebrates,FALSE
Eidmannella bullata,no common name,1,Texas,1,Texas,Other Invertebrates,TRUE
Eidmannella delicata,no common name,1,Texas,1,Texas,Other Invertebrates,TRUE
Eidmannella nasuta,A cave obligate spider,1,Texas,1,Texas,Other Invertebrates,TRUE
Eidmannella pallida,Pallid cave spider,0,NA,1,Tennessee,Other Invertebrates,TRUE
Eidmannella reclusa,no common name,1,Texas,1,Texas,Other Invertebrates,TRUE
Eidmannella tuckeri,no common name,1,Texas,1,Texas,Other Invertebrates,TRUE
Eilema bicolor,Bicolor Moth,1,West Virginia,1,West Virginia,Other Invertebrates,TRUE
Elaphoidella,A cave obligate copepod,0,NA,1,Texas,Other Invertebrates,FALSE
Elaphropus dolosus,A Ground Beetle,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Elaphropus xanthopus,A Ground Beetle,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Elaphrus fuliginosus,A Ground Beetle,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Elaphrus viridis,Delta Green Ground Beetle,1,California,1,California,Other Invertebrates,TRUE
Elasmostethus atricornis,Hercules club stink bug,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Elassoma alabamae,spring pygmy sunfish,1,Alabama,1,Alabama,Fish,TRUE
Elateridae,click beetles,0,NA,1,Florida,Other Invertebrates,FALSE
